Date,Time,Crypto,Open,High,Low,Close,Volume,ChangeV,ChangeP
5/19/21,15:00:00,Ethereum,2612.22000000,2780.00000000,2519.59000000,2742.61000000,298486.91894000,-1.39,4.97
5/19/21,14:00:00,Ethereum,2493.68000000,2617.00000000,2285.00000000,2612.74000000,302720.21547000,-38.6,4.774
5/19/21,13:00:00,Ethereum,2365.18000000,2599.00000000,1888.00000000,2493.69000000,493227.88282000,12.74,5.433
5/19/21,12:00:00,Ethereum,2721.08000000,2773.52000000,1960.00000000,2365.18000000,437462.36681000,23.07,-13
5/19/21,11:00:00,Ethereum,2856.66000000,2866.68000000,2442.82000000,2721.08000000,355439.87786000,199.3,-4.74
5/19/21,10:00:00,Ethereum,2973.82000000,2984.49000000,2818.88000000,2856.56000000,118730.30048000,63.05,-3.94
5/19/21,9:00:00,Ethereum,2978.27000000,3006.00000000,2933.00000000,2973.82000000,72815.26871000,-12.2,-0.15
5/19/21,8:00:00,Ethereum,2985.00000000,2996.46000000,2917.45000000,2978.31000000,82937.68411000,-37.9,-0.22
5/19/21,7:00:00,Ethereum,2944.96000000,3012.00000000,2857.41000000,2985.00000000,133561.88508000,27.08,1.359
5/19/21,6:00:00,Ethereum,2927.36000000,3017.41000000,2925.00000000,2944.96000000,105093.13772000,-43.3,0.59
5/19/21,5:00:00,Ethereum,2932.27000000,3029.56000000,2908.00000000,2927.68000000,185389.96008000,-20,-0.13
5/19/21,4:00:00,Ethereum,3097.23000000,3133.18000000,2858.79000000,2931.56000000,232021.83276000,94.04,-5.34
5/19/21,3:00:00,Ethereum,3109.44000000,3158.21000000,3042.64000000,3097.23000000,119570.52834000,19.85,-0.39
5/19/21,2:00:00,Ethereum,3188.21000000,3238.14000000,3105.00000000,3109.44000000,99759.49406000,-3.31,-2.47
5/19/21,1:00:00,Ethereum,3354.14000000,3354.90000000,3157.00000000,3188.24000000,103180.97844000,134.7,-4.94
5/13/21,22:00:00,Ethereum,3753.39000000,3776.84000000,3661.34000000,3661.34000000,42964.23207000,36.09,-2.45
5/13/21,21:00:00,Ethereum,3715.26000000,3783.34000000,3688.31000000,3753.39000000,31569.63077000,-29.5,1.011
5/13/21,20:00:00,Ethereum,3650.30000000,3737.50000000,3610.05000000,3715.81000000,44819.86456000,-19,1.754
5/13/21,19:00:00,Ethereum,3585.69000000,3713.13000000,3583.61000000,3651.75000000,55344.25901000,-34.8,1.842
5/13/21,18:00:00,Ethereum,3699.40000000,3733.98000000,3570.03000000,3585.69000000,84923.00552000,-48.4,-3.07
5/13/21,17:00:00,Ethereum,3693.39000000,3720.00000000,3541.51000000,3699.40000000,164651.24537000,82.86,0.162
5/13/21,16:00:00,Ethereum,3747.01000000,3874.12000000,3672.45000000,3693.40000000,90037.86080000,29.37,-1.43
5/13/21,15:00:00,Ethereum,3847.75000000,3857.26000000,3725.00000000,3747.02000000,69593.01082000,1.488,-2.6
5/13/21,14:00:00,Ethereum,3856.89000000,3900.00000000,3838.15000000,3847.38000000,68572.49837000,1.814,-0.26
5/13/21,13:00:00,Ethereum,3807.84000000,3867.03000000,3750.07000000,3857.52000000,67350.62607000,-19.9,1.313
5/13/21,12:00:00,Ethereum,3744.46000000,3830.55000000,3700.00000000,3807.51000000,84147.44952000,-28.9,1.683
